"company_code","category_class_number","category_kbn","category_kbn_name","category_kbn_abbreviation","category_kbn_option1","category_kbn_option2","category_kbn_option3","del_flg","reg_account","reg_time","upd_account","upd_time"
"000001","000","000",システムメンテナンス,※000：通常　999：メンテ中,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","001","001",一般,一般,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","001","002",システム用,シス用,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","002","000",役員,役員,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","002","001",正社員,社員,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","002","002",契約社員,契約,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","002","003",派遣社員,派遣,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","002","004",アルバイト・パート,バイト,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","002","005",業務委託,ＢＰ,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","002","900",その他,他,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","003","001",代表取締役,代表,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","003","002",取締役,取締役,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","003","003",プロジェクトマネージャー,ＰＭ,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","004","100",一般社員,一社,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","004","500",総務担当,総務,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","004","550",総務長,総長,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","004","800",勤怠共通用,勤共,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","004","999",システム管理,シ管,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","001",出勤,出勤,"","","01","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","002",休日出勤全日,休出,"","","11","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","003",振替出勤全日,休出振,"","","13","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","004",遅刻,遅刻,"","","02","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","005",休日出勤半日,休出半,"","","10","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","006",振替出勤半日,休出振半,"","","12","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","010",欠勤,欠勤,"","","03","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","020",有休全日,有休全,"","","07","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","021",有休半日,有休半,"","","06","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","022",特別休暇,慶弔,"","","17","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","023",振替休全日,振替全,"","","15","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","024",振替休半日,振替半,"","","14","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","025",代休全日,代休全,"","","09","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","026",代休半日,代休半,"","","08","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","070",休職,休職,"","","04","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","080",年末年始,年末始,"","","05","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","010","081",夏季休暇,夏休,"","","16","0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","011","001","5:00",※同日の判断時間,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","011","002","22:00",※深夜の判断時間,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","011","011","30",※始業前取り扱い外〇分,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","011","012","0",※【未使用】終業後取り扱い外〇分,"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","012","001","1",※出退勤回数(1or3),"","",,"0","999999","2021-07-07 15:18:57","999999","2021-07-07 15:19:06"
"000001","013","001",入社0.5年後有休付与日数,,"0","10",,"0",,,,
"000001","013","002",入社1.5年後有休付与日数,,"1","11",,"0",,,,
"000001","013","003",入社2.5年後有休付与日数,,"2","12",,"0",,,,
