"company_code","category_class_number","category_class_name","category_system_flg","category_description","del_flg","reg_account","reg_time","upd_account","upd_time"
"000001","000",システムメンテナンス,"1",システムのメンテナンス状態を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","001",利用者区分,"1",利用者の区分を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","002",雇用形態区分,"1",雇用形態を定義（SmartHRより）,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","003",役職区分,"1",役職を定義（SmartHRより）,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","004",権限区分,"1",メニュー権限と処理権限を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","010",勤怠区分,"1",出勤の種類を定義（OP1:勤務から変更可 OP2:休日減数）,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","011",時間管理,"1",各種時間の定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","012",出退勤回数管理,"1","１日の出退勤回数を定義","0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","013",有休付与日数区分,"1",入社年数に応じて、有休付与年数を定義,"0","999999","2022-01-18 11:34:08",,
"000001","020",管理用メールアドレス,"1",システムからのメール送信のメールアドレスを定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","021",問い合わせ先メールアドレス,"1",問い合わせ先メールアドレスを定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","030",申請状態区分,"1",申請の状態を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","031",申請種類区分,"1",申請の種類を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","032",申請承認区分,"1",申請or承認を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","033",ワークフロー状態区分,"1",ワークフローの各処理の状態を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","040",休暇種類区分,"1",休暇申請の種類を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","041",休暇理由区分,"1",休暇申請時に選択する理由を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","042",特別休暇理由区分,"1",特別休暇申請時に選択する理由を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","045",出勤種類区分,"1",出勤申請の種類を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","046",出勤理由区分,"1",出勤申請時に選択する理由を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","048",時刻区分,"1",全日／午前／午後を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","049",休暇操作区分,"1",付与と利用を定義,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","050",旅費申請区分,"1",交通費精算の種類を定義,"0","999999","2022-03-24 00:00:00","999999","2022-03-24 00:00:00"
"000001","051",旅費申請区分,"1",旅費の種類を定義,"0","999999","2022-03-24 00:00:00","999999","2022-03-24 00:00:00"
"000001","052",精算区分,"1",精算の種類を定義,"0","999999","2022-03-24 00:00:00","999999","2022-03-24 00:00:00"
"000001","053",往復区分,"1",交通費申請の往復と片道を定義,"0","999999","2022-03-24 00:00:00","999999","2022-03-24 00:00:00"
"000001","054",資格,"1",資格種類を管理するカテゴリID,"0","999999","2022-07-22 16:20:12","999999","2022-07-22 16:20:12"
"000001","055",見舞金区分,"1",慶弔見舞金申請を管理するカテゴリID,"0","999999","2022-08-01 14:11:23","999999","2022-08-01 14:11:23"
"000001","056",見舞金事由区分,"1",慶弔事由を管理するカテゴリID,"0","999999","2022-08-01 14:11:23","999999","2022-08-01 14:11:23"
"000001","060",お知らせ区分,"1",お知らせの種類を定義,"0","999999","2022-06-20 13:36:01","999999","2022-06-20 13:36:11"
"000001","070",経歴書区分,"1",経歴書バージョンを識別する,"0","999999","2022-07-11 17:36:34","999999","2022-07-11 17:36:34"
"000001","071",語学能力,"1",語学能力をレベル単位で表現する,"0","999999","2022-07-11 17:36:34","999999","2022-07-11 17:36:34"
"000001","072",技術能力,"1",技術能力をレベル単位で表現する,"0","999999","2022-07-11 17:36:34","999999","2022-07-11 17:36:34"
"000001","073",役割,"1",現在役割の選択項目,"0","999999","2022-07-15 10:17:11","999999","2022-07-15 10:17:11"
"000001","074",OS,"1",OSの選択項目,"0","999999","2022-08-02 13:02:21","999999","2022-08-02 13:02:21"
"000001","075",DB,"1",DBの選択項目,"0","999999","2022-08-02 13:02:21","999999","2022-08-02 13:02:21"
"000001","076",言語,"1",言語の選択項目,"0","999999","2022-08-02 13:02:21","999999","2022-08-02 13:02:21"
"000001","077",その他,"1",その他の選択項目,"0","999999","2022-08-02 13:02:21","999999","2022-08-02 13:02:21"
"000001","080",添付区分,"1",どの処理で添付されたかの区分,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
"000001","090",ビューコメント,"1",作成されているビューの説明,"0","999999","2021-07-07 15:16:52","999999","2021-07-07 15:16:58"
