"company_code","notice_number","notice_category","notice_publication_start_date","notice_publication_end_date","notice_title","notice_contents","notice_new_period","notice_attachment1","notice_attachment2","notice_attachment3","registration_user","registration_datetime","update_user","update_datetime"
"000001","2021080201","005","2021/08/02","2022/08/02",LW社内管理システム　リリース！！,"この度、LW社内管理システムをリリースしました。


現段階では、主な機能は勤怠の記録のみですが、
今後、充実させていく予定です。

まずは、リリースとして九州事業所・事務所内のメンバーで利用し、
その後、全体で利用していきたいと思います。

まだ、出始めでご不便・ご迷惑をかけることもあるかと思いますが、
全員でより良いものを目指していきましょう。


よろしくお願いいたします。


2021.8.2　社内管理開発チーム一同



",7,,,,"186","2021-07-28 13:22:46","186","2021-07-28 13:22:49"
"000001","2021080601","001","2021/08/06","2022/08/06",アップデート予定　V1.0.0→V1.1.0,"日頃より社内管理システムをご利用いただきありがとうございます。
８月１６日（月）にアップデートを実施します。

つきましては、以下の時間帯はご利用いただけません。

８月１６（月）１２：００～１３：００

　【アップデート内容（予定）】
　・出勤・退勤のボタンをフッタ部より廃止
　・出退勤をメニューに追加
　・勤務表エクスポート時の処理中マーク追加
　・勤怠入力の月切り替えボタンの追加
　・勤怠入力の管理者用の機能追加
　・その他UIの変更
　・軽微な不具合の修正

よろしくお願いいたします。

2021.8.6　社内管理開発チーム一同
",7,,,,"186","2021-07-28 13:22:46","186","2021-07-28 13:22:49"
"000001","2021081601","001","2021/08/16","2022/08/16",アップデート完了　V1.0.0→V1.1.0,"【アップデート完了報告　V1.0.0→V1.1.0】

日頃より社内管理システムをご利用いただきありがとうございます。
V1.1.0へのアップデートが完了しました。

　【アップデート内容】
　・出勤・退勤のボタンをフッタ部より廃止
　・出退勤をメニューに追加
　・勤務表エクスポート時の処理中マーク追加
　・勤怠入力の月切り替えボタンの追加
　・勤怠入力の管理者用の機能追加
　・その他UIの変更
　・軽微な不具合の修正

よろしくお願いいたします。

2021.8.16　社内管理開発チーム一同

",7,,,,"186","2021-07-28 13:22:46","186","2021-07-28 13:22:49"
"000001","2021083101","003","2021-08-31","2021-09-03",不具合と解消のご連絡,"各位

【１】
１３：５０～　１４：５０までテスト用のＤＢを参照するようになっていました。
現在は復旧しております。

【２】
検索処理について問題がありました。
こちらも現在は復旧しました。

　事　象：検索の対象者の勤務表が表示されない。
　　　　　　月移動すると、ログイン者の勤務表の内容が表示されてしまう。
　原　因：月移動の条件に誤りがあった。
　修正後：勤務表は、表示している対象者の勤務表を取得する。


どちらも月末のお忙しい時期に、必要な機能で、ご迷惑をおかけしますが、
その時間帯に入力・確認などされた方は、再度ご確認いただけますよう、よろしくお願いいたします。


2021.8.31　社内管理開発チーム一同

",7,,,,"186","2021-08-31 18:59:30","186","2021-08-31 18:59:30"
"000001","2021092801","001","2021-09-28","2022-09-28",アップデート情報（v1.1.1）,"以下の内容をリリースしました。

◆勤務入力で本日日付へジャンプするボタン

また、以下の内容を解消しております。

◆勤務表出力時に、開始・終了時間がない箇所も、合計時間などが
　出力される場合がある


よろしくお願いいたします。


2021.9.28　社内管理開発チーム一同



",7,,,,"186","2021-07-28 13:22:46","186","2021-07-28 13:22:49"
"000001","2021093001","001","2021-09-30","2022-09-30",アップデート情報（v1.1.2）,"以下の内容を解消しております。

◆１０月の勤務の表示がされず、月切り替えすると表示される


よろしくお願いいたします。


2021.9.30　社内管理開発チーム一同



",7,,,,"186","2021-07-28 13:22:46","186","2021-07-28 13:22:49"
"000001","2021102201","004","2021-10-22","2021-10-28",メンテナンス予定（時間変更）,"日頃より社内管理システムをご利用いただきありがとうございます。
１０月２８日（木）にV1.2.0へのアップデートのため、
メンテナンスを実施します。

つきましては、以下の時間帯はご利用いただけません。

★★　１０月２８（木）１６：００～１７：００　★★

　【アップデート内容（予定）】
　・ワークフロー機能の追加
　・申請一覧、承認一覧の追加
　・マニュアル閲覧の追加

　※ただし、以下の機能は今回リリースされません。
　・休暇などの各種申請機能。申請できるのは勤怠のみです。
　・勤務表への承認押印表示。
　・申請一覧、承認一覧の詳細な検索条件指定。

　※状況により変更になる可能性があります。

よろしくお願いいたします。

2021.10.21　社内管理開発チーム一同

",7,,,,"186","2021-07-28 13:22:46","186","2021-07-28 13:22:49"
"000001","2021102801","001","2021-10-28","2022-10-28",アップデート情報（v1.2.0）,"日頃より社内管理システムをご利用いただきありがとうございます。
社内管理システムをV1.2.0へアップデートを行いました。

　【アップデート内容】
　・ワークフロー機能の追加
　・申請一覧、承認一覧の追加
　・マニュアル閲覧の追加

　・土日出勤時の取消対応
　・日跨りの勤務時間対応

　※ただし、以下の機能は今回リリースされません。
　・休暇などの各種申請機能はまだ利用できません。申請できるのは勤怠のみです。
　・勤務表への承認押印表示はできません。
　・申請一覧、承認一覧の詳細な検索条件指定はできません。

よろしくお願いいたします。

2021.10.28　社内管理開発チーム一同

",7,,,,"186","2021-07-28 13:22:46","186","2021-07-28 13:22:49"
"000001","2021102901","005","2021-10-29","2021-11-05",勤務時間に日付が表示される場合,"社内管理システムの勤務表の出勤・退勤時間に日付から表示されている場合は、
お手数ですが【F5】キーで更新してください。
",7,,,,"186","2021-07-28 13:22:46","186","2021-07-28 13:22:49"
"000001","2022012801","001","2022-02-04","2023-02-06",アップデート完了　V1.2.2→V1.3.0,"日頃より社内管理システムをご利用いただきありがとうございます。
バージョン1.3.0へのアップデートが完了しました。

メンテナンス中は、ご不便をおかけいたしました。

　【アップデート内容】
　・勤怠関連の申請機能
　　有休休暇申請
　　代休申請
　　特別休暇申請
　　夏季休暇申請
　　休日出勤申請
　　深夜残業申請
　　振休出勤申請
　・有給休暇の残数管理

※代休の残管理は未実装です。もうしばらくお待ちください。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
＝　　　　　※　事前申請のお願い　※　　　　　＝
＝　　　　　　　　　　　　　　　　　　　　　　＝
＝　　　　　　各申請につきましては、　　　　　＝
＝　　　　　　基本的に事前申請を　　　　　　　＝
＝　　　　　　お願いいたします。　　　　　　　＝
＝　　　　　　　　　　　　　　　　　　　　　　＝
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝


よろしくお願いいたします。

2022.2.4　社内管理開発チーム一同
",7,,,,"186","2022-01-28 11:44:00","186","2022-01-28 11:44:00"
