"company_code","apply_ym","request_number","request_type_kbn","request_user_id","allowance","quantity","total","project_id","project_name","qualification_id","qualification_exam_date","image","remark_1","remark_2","remark_3","remark_4","remark_5","reg_account","reg_time","upd_account","upd_time"
"000001","202207","20220904121848125000001126","042","126",10000,1,10000,"001",次期ダイレクト,,,,,,,,,"126","2022-09-04 12:18:49","126","2022-09-04 12:18:49"
"000001","202208","20220901001235545000001227","043","227",1000,19,19000,,,,,,山口銀行事務センター,,,,,"227","2022-09-01 00:12:35","227","2022-09-01 00:26:43"
"000001","202208","20220901081935002000001211","043","211",1000,19,19000,,,,,,長府事務センター,,,,,"211","2022-09-01 08:20:18","211","2022-09-01 08:21:00"
"000001","202208","20220902003528478000001177","043","177",1000,18,18000,,,,,,出張先:岡山,,,,,"177","2022-09-02 00:35:29","177","2022-09-02 00:35:29"
"000001","202208","20220904122006500000001126","042","126",10000,2,20000,"001",次期ダイレクト,,,,,,,,,"126","2022-09-04 12:20:07","126","2022-09-04 12:20:07"
"000001","202208","20220920091934592000001161","042","161",100000,1,100000,PJ0001,新請求システム構築PJ,,,,,,,,,"161","2022-09-20 09:19:35","161","2022-09-20 09:19:35"
"000001","202208","20221004100549686000001176","042","176",10000,3,30000,NDSインフラ,NDSインフラ,,,,,,,,,"176","2022-10-04 10:05:50","176","2022-10-04 10:05:50"
"000001","202209","20220915102324581000001186","040","186",10000,1,10000,,,,,/home/leadingwin_oa/static/user/lw/upload/CongratulatoryOrCondolencePayments/186/20220915102324581000001186-040.jpeg,母,"002","203","20220907",例：死亡診断書等,"186","2022-09-15 10:23:39","186","2022-09-15 10:24:30"
"000001","202209","20220916143024106000001176","042","176",10000,3,30000,NDSインフラ,NDSインフラ,,,,,,,,,"176","2022-09-16 14:30:24","176","2022-09-16 14:30:24"
"000001","202209","20220928160657486000001122","043","122",1000,2,2000,,,,,,"9月15日～16日で1泊二日の出張です。",,,,,"122","2022-09-28 16:09:42","122","2022-10-04 11:29:35"
"000001","202209","20221003083353801000001227","043","227",1000,18,18000,,,,,,山口銀行事務センター,,,,,"227","2022-10-03 08:33:55","227","2022-10-03 10:11:25"
"000001","202209","20221003083938509000001177","043","177",1000,20,20000,,,,,,"9/1〜9/30 岡山",,,,,"177","2022-10-03 08:39:39","177","2022-10-03 08:39:39"
"000001","202209","20221003095330651000001211","043","211",1000,19,19000,,,,,,長府事務センター勤務,,,,,"211","2022-10-03 09:53:32","211","2022-10-03 09:53:32"
"000001","202209","20221003211124737000001161","042","161",100000,1,100000,PJ001,新請求システム構築PJ,,,,,,,,,"161","2022-10-03 21:11:25","161","2022-10-03 21:11:25"
"000001","202209","20221004081546117000001126","042","126",10000,2,20000,"001",次期ダイレクト,,,,,,,,,"126","2022-10-04 08:15:51","126","2022-10-04 08:15:51"
"000001","202210","20221004100628066000001176","042","176",10000,4,40000,NDSインフラ,NDSインフラ,,,,,,,,,"176","2022-10-04 10:06:28","176","2022-10-04 10:06:28"
"000001","202210","20221031090911546000001161","042","161",100000,1,100000,PJ001,新請求システム構築PJ,,,,,,,,,"161","2022-10-31 09:09:08","161","2022-10-31 09:09:08"
"000001","202210","20221031175723949000001177","043","177",1000,20,20000,,,,,,岡山出張,,,,,"177","2022-10-31 17:57:52","177","2022-11-01 01:45:45"
"000001","202210","20221031185015889000001121","043","121",1000,18,18000,,,,,,"山口銀行での移行作業のため出張
有給休暇取得日分（2日）の申請を修正",,,,,"121","2022-10-31 18:50:16","121","2022-11-02 06:10:25"
"000001","202210","20221101204021947000001227","043","227",1000,20,20000,,,,,,山口銀行事務センター,,,,,"227","2022-11-01 20:40:24","227","2022-11-01 20:40:24"
"000001","202210","20221101224009810000001211","043","211",1000,22,22000,,,,,,山口銀行事務センター（長府）,,,,,"211","2022-11-01 22:40:03","211","2022-11-01 22:40:03"
"000001","202210","20221102081944039000001126","042","126",10000,2,20000,"001",次期ダイレクト,,,,,,,,,"126","2022-11-02 08:19:44","126","2022-11-02 08:19:44"
"000001","202210","20221110154659530000001110","043","110",1500,7,10500,,,,,,"10月12日～10月14日（計3日）
10月17日～10月20日（計4日）",,,,,"110","2022-11-10 15:47:00","110","2022-11-10 15:47:00"
"000001","202211","20221128085608881000001176","042","176",10000,3,30000,NDSインフラ,NDSインフラ,,,,,,,,,"176","2022-11-28 08:56:09","176","2022-11-28 08:56:09"
"000001","202211","20221130052251343000001121","043","121",1000,20,20000,,,,,,山口銀行での移行作業のための出張,,,,,"121","2022-11-30 05:23:22","121","2022-11-30 05:23:37"
"000001","202211","20221130181502775000001126","042","126",10000,2,20000,"001",次期ダイレクト,,,,,,,,,"126","2022-11-30 18:15:04","126","2022-11-30 18:15:04"
"000001","202211","20221201193109007000001161","042","161",100000,1,100000,PJ001,新請求システム構築PJ,,,,,,,,,"161","2022-12-01 19:31:08","161","2022-12-01 19:31:08"
"000001","202211","20221201212339782000001227","043","227",1000,17,17000,,,,,,山口銀行事務センター,,,,,"227","2022-12-01 21:23:41","227","2022-12-01 21:23:41"
"000001","202211","20221202092708333000001053","042","053",10000,4,40000,TIS,TIS岡三証券システム,,,,,,,,,"053","2022-12-02 09:27:08","053","2022-12-02 09:27:08"
"000001","202211","20221202103416634000001211","043","211",1000,20,20000,,,,,,山口銀行事務センター,,,,,"211","2022-12-02 10:35:03","211","2022-12-02 10:38:39"
"000001","202211","20221202214244463000001177","043","177",1000,21,21000,,,,,,出張岡山,,,,,"177","2022-12-02 21:42:43","177","2022-12-02 21:42:43"
"000001","202211","20221221085305562000001176","042","176",10000,3,30000,NDSインフラ,NDSインフラ,,,,,,,,,"176","2022-12-21 08:53:06","176","2022-12-21 08:53:06"
"000001","202211","20231214161736730000001110","043","110",1500,3,4500,,,,,,"10月31日〜11月０２日",,,,,"110","2023-12-14 16:17:37","110","2023-12-14 16:17:37"
