"company_code","request_number","request_user_id","work_type_kbn","scheduled_work_day","work_time_kbn","work_reason_kbn","remark","registration_user","registration_datetime","update_user","update_datetime"
"000001","198","20230321","1","20230529","110","202","110","2023/05/29 19:21:19",,,
"000001","198","20230325","1","20230529","110","202","110","2023/05/29 19:21:24",,,
"000001","198","20230326","1","20230529","110","202","110","2023/05/29 19:21:27",,,
"000001","20210123426738933000001122","122","021","20210123","010","010",,InputByExcel,"2022-07-15 20:01:18",InputByExcel,"2022-07-15 20:01:18"
"000001","20210213149263895000001122","122","021","20210213","010","010",,InputByExcel,"2022-07-15 20:01:18",InputByExcel,"2022-07-15 20:01:18"
"000001","202201092221783000001151","151","021","20220109","020","020",,InputByExcel,"2022-07-15 20:01:18",InputByExcel,"2022-07-15 20:01:18"
"000001","20220122766219809000001151","151","021","20220122","020","020",,InputByExcel,"2022-07-15 20:01:18",InputByExcel,"2022-07-15 20:01:18"
"000001","20220302100214471000001147","147","021","20220219","010","003","","147","2022-03-02 10:02:15","147","2022-03-02 10:02:15"
"000001","20220302100240326000001147","147","021","20220220","010","003","","147","2022-03-02 10:02:40","147","2022-03-02 10:02:40"
"000001","20220319996524444000001199","199","021","20220319","010","010",,InputByExcel,"2022-07-15 20:03:32",InputByExcel,"2022-07-15 20:03:32"
"000001","20220423437343770000001151","151","021","20220423","020","020",,InputByExcel,"2022-07-15 20:01:18",InputByExcel,"2022-07-15 20:01:18"
"000001","20220428101737961000001137","137","021","20220429","010","002","","137","2022-04-28 10:17:38","137","2022-04-28 10:17:38"
"000001","20220501604239407000001161","161","021","20220501","020","020",,InputByExcel,"2022-07-15 20:01:18",InputByExcel,"2022-07-15 20:01:18"
"000001","20220503177176384000001053","053","021","20220503","010","010",,InputByExcel,"2022-07-15 20:03:32",InputByExcel,"2022-07-15 20:03:32"
"000001","20220512175043823000001205","205","021","20220514","010","099",合同説明会参加,"205","2022-05-12 17:50:44","205","2022-05-12 17:50:44"
"000001","20220522785995928000001217","217","021","20220522","020","010",,InputByExcel,"2022-07-15 20:03:32",InputByExcel,"2022-07-15 20:03:32"
"000001","20220523175014637000001069","069","021","20220521","021","003","","069","2022-05-23 17:50:15","069","2022-05-23 17:50:15"
"000001","20220523195654510000001130","130","021","20220521","010","003",出勤時間：8：45～17：30,"130","2022-05-23 21:00:43","130","2022-05-23 21:00:43"
"000001","20220523200112891000001130","130","021","20220522","010","003",出勤時間：8：45～15：00,"130","2022-05-23 21:01:53","130","2022-05-23 21:01:53"
"000001","20220523200234044000001130","130","021","20220528","010","003","","130","2022-05-23 21:02:30","130","2022-05-23 21:02:30"
"000001","20220523200258401000001130","130","021","20220529","010","003","","130","2022-05-23 21:02:54","130","2022-05-23 21:02:54"
"000001","20220529696686752000001190","190","021","20220529","010","010",,InputByExcel,"2022-07-15 20:03:32",InputByExcel,"2022-07-15 20:03:32"
"000001","20220529816628635000001053","053","021","20220529","010","010",,InputByExcel,"2022-07-15 20:03:32",InputByExcel,"2022-07-15 20:03:32"
"000001","20220530090314747000001081","081","021","20240210","010","099",本番作業,"081","2024-02-26 09:04:08","081","2024-02-26 09:04:08"
"000001","20220603120311717000001161","161","021","20220501","020","003",障害対応のため,"161","2022-06-03 12:03:11","161","2022-06-03 12:03:11"
"000001","20220630094724869000001081","081","021","20220611","010","099",本番作業,"081","2022-06-30 09:47:25","081","2022-06-30 09:47:25"
"000001","20220705101905021000001081","081","021","20220710","010","099",本番作業,"081","2022-07-05 10:20:21","081","2022-07-05 10:20:21"
"000001","20220706030954325000001223","223","021","20220723","010","099",本番作業,"223","2022-07-06 03:09:53","223","2022-07-06 03:09:53"
